"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address","MAC Address",Location,"Switch Port and VLAN","Port Type","Service Speed","Service Type","Peering LAN","Membership Type","Route Servers"
"Aire Networks del Mediterraneo S.L.U",http://www.airenetworks.es/en/,29119,"No data",195.66.227.29,2001:7f8:4::71bf:1,5c45.27cd.41c0,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/0/2",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Aire Networks del Mediterraneo S.L.U",http://www.airenetworks.es/en/,29119,"No data",195.66.227.29,2001:7f8:4::71bf:1,5c45.27cd.41c0,"Equinix LD6 (EQ4)","edge5-eq4 xe-2/0/3",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Airtel Chad",https://www.airtel.td/,327708,"No data",195.66.226.139,2001:7f8:4::5:4c:1,a0f3.e468.9e30,"Telehouse East (THE)","edge4-the ge-4/1/0",1G,1G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Airtel Chad",https://www.airtel.td/,327708,"No data",195.66.238.139,2001:7f8:4:1:0:5:4c:1,a47b.2ce1.d09b,"Telehouse East (THE)","edge1-the-lon2 xe8",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.246.28,2001:7f8:4:3::51cc:1,34ef.b63a.0853,"DataVita Glasgow DC1/DC2 (DVG)","edge1-dvg.sco1 31",10G,10G,Regular,sco1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.246.28,2001:7f8:4:3::51cc:1,34ef.b63a.0853,"DataVita Glasgow DC1/DC2 (DVG)","edge1-dvg.sco1 30",10G,10G,Regular,sco1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.224.168,2001:7f8:4::51cc:1,fc33.42d1.bfec,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/5/0",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.236.31,2001:7f8:4:1::8013:1,a80c.0d0d.cb05,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe3",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.224.31,2001:7f8:4::8013:1,4055.392f.7651,"Equinix LD6 (EQ4)","edge3-eq4 et-4/1/5",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.224.31,2001:7f8:4::8013:1,4055.392f.7651,"Equinix LD6 (EQ4)","edge3-eq4 et-4/0/5",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,63949,"No data",195.66.225.73,2001:7f8:4::f9cd:1,384f.49d1.cfc2,"Equinix LD9 Powergate (TCA)","edge1-tca et-3/1/0",100G,100G,Regular,lon1,full,
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",206.55.196.30,2001:504:31::51cc:1,7ce2.ca2c.29fb,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 xe-11/0/3",10G,10G,Regular,nva1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.224.31,2001:7f8:4::8013:1,4055.392f.7651,"Equinix LD6 (EQ4)","edge3-eq4 et-8/0/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.226.81,2001:7f8:4::51cc:2,f07c.c7e1.791a,"Interxion LON2 (IN2)","core3-in2 et-2/1/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.236.31,2001:7f8:4:1::8013:1,a80c.0d0d.cb05,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe1",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.226.81,2001:7f8:4::51cc:2,f07c.c7e1.791a,"Interxion LON2 (IN2)","core3-in2 et-2/2/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.224.168,2001:7f8:4::51cc:1,fc33.42d1.bfec,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/2/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.224.168,2001:7f8:4::51cc:1,fc33.42d1.bfec,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/3/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.224.168,2001:7f8:4::51cc:1,fc33.42d1.bfec,"Equinix LD8 Harbour Exchange (TCH)","core3-tch et-2/3/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.226.81,2001:7f8:4::51cc:2,f07c.c7e1.791a,"Interxion LON2 (IN2)","core3-in2 et-2/2/0",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.226.81,2001:7f8:4::51cc:2,f07c.c7e1.791a,"Interxion LON2 (IN2)","core3-in2 et-2/1/3",100G,100G,Regular,lon1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.236.31,2001:7f8:4:1::8013:1,a80c.0d0d.cb05,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe2",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.236.31,2001:7f8:4:1::8013:1,a80c.0d0d.cb05,"Equinix LD4 (EQ4)","edge2-eq4-lon2 xe4",10G,10G,Regular,lon2,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,32787,"No data",195.66.224.31,2001:7f8:4::8013:1,4055.392f.7651,"Equinix LD6 (EQ4)","edge3-eq4 et-9/0/2",100G,100G,Regular,lon1,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Akamai Technologies Inc.",http://www.akamai.com/,20940,"No data",195.66.244.53,2001:7f8:4:2::51cc:1,0c81.26c4.7465,"Equinix MA1 Williams House (TCW)","edge8-tcw-man1 ce12/1",100G,100G,Regular,man1,full,"rs1.lon1, rs1.man1, rs1.nva1, rs1.sco1, rs2.man1, rs2.nva1, rs2.sco1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,"No data",195.66.227.194,2001:7f8:4::5f6d:1,8cfd.18bd.d7d1,"Equinix LD6 (EQ4)","edge5-eq4 xe-7/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,"No data",195.66.227.194,2001:7f8:4::5f6d:1,8cfd.18bd.d7d1,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/2/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,"No data",195.66.227.194,2001:7f8:4::5f6d:1,8cfd.18bd.d7d1,"Equinix LD6 (EQ4)","edge5-eq4 xe-8/0/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Alibaba Cloud CDN (AliCDN)",https://www.alibabacloud.com/,24429,"No data",195.66.227.194,2001:7f8:4::5f6d:1,8cfd.18bd.d7d1,"Equinix LD6 (EQ4)","edge5-eq4 xe-5/1/1",10G,10G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
"Alibaba Group",http://www.alibaba.com,45102,"No data",195.66.227.152,2001:7f8:4::b02e:2,00c1.644a.5eef,"Telehouse North (THN)","core3-thn et-2/2/3 VLAN: 101",ConneXions,10G,ConneXions,lon1,full,"rs1.jed1, rs1.lon1, rs2.jed1, rs3.lon1"
"Alibaba Group",http://www.alibaba.com,45102,"No data",185.1.126.1,2001:7f8:d1::b02e:1,ee94.d503.2813,"MENA Gateway (MG1).(STJ)","edge1-stj-jed1 xe12",10G,10G,Regular,jed1,full,"rs1.jed1, rs1.lon1, rs2.jed1, rs3.lon1"
"Alibaba Group",http://www.alibaba.com,45102,"No data",185.1.126.6,2001:7f8:d1::b02e:2,e813.6e4c.7546,"MENA Gateway (MG1).(STJ)","edge1-stj-jed1 xe13",10G,10G,Regular,jed1,full,"rs1.jed1, rs1.lon1, rs2.jed1, rs3.lon1"
"Alibaba Group",http://www.alibaba.com,45102,"No data",195.66.225.79,2001:7f8:4::b02e:1,00c1.647f.fbef,"Equinix LD6 (EQ4)","edge5-eq4 xe-3/3/4",10G,10G,Regular,lon1,full,"rs1.jed1, rs1.lon1, rs2.jed1, rs3.lon1"
"Allied Telecom Group",http://www.alliedtelecom.net,22925,"No data",206.55.196.39,2001:504:31::598d:1,ec38.73e5.a841,"CoreSite Reston (COR)","edge1-cor.nva1 xe-11/2/3",10G,10G,Regular,nva1,full,"rs1.nva1, rs2.nva1"
"Allied Telecom Group",http://www.alliedtelecom.net,22925,"No data",206.55.196.39,2001:504:31::598d:1,ec38.73e5.a841,"CoreSite Reston (COR)","edge1-cor.nva1 xe-11/3/0",10G,10G,Regular,nva1,full,"rs1.nva1, rs2.nva1"
"Almaviva s.p.a.",https://www.almaviva.it,29419,"No data",195.66.227.150,,4403.a779.9149,"Telehouse North (THN)","edge3-thn xe-5/2/1 VLAN: 403",ConneXions,250M,ConneXions,lon1,full,rs1.lon1
"Alpha Network Solutions PTE LTD",https://www.alphanetworks.global/,132337,"No data",195.66.225.233,2001:7f8:4::2:4f1:1,008a.965c.e014,"Telehouse North (THN)","core3-thn ae204.0 VLAN: 1656",ConneXions,1G,ConneXions,lon1,full,"rs1.lon1, rs3.lon1"
"Amatis Networks",http://www.amatisnetworks.com,34442,"No data",195.66.225.135,2001:7f8:4::868a:1,a478.06a8.4530,"Telehouse North (THN)","core3-thn et-3/5/1",100G,100G,Regular,lon1,full,"rs1.lon1, rs3.lon1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.244.42,2001:7f8:4:2::407d:1,7ce2.cad0.dae6,"Equinix MA3 Joule House (TCJ)","edge3-tcj-man1 ce1/1",100G,100G,Regular,man1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",206.55.196.43,2001:504:31::407d:1,2e6b.f54f.5ae5,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 et-4/3/0",100G,100G,Regular,nva1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.237.175,2001:7f8:4:1::407d:1,40de.ad2c.0e49,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce4/1",100G,100G,Regular,lon2,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/5/0",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/2/0",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.237.175,2001:7f8:4:1::407d:1,40de.ad2c.0e49,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce24/1",100G,100G,Regular,lon2,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/5/1",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/1/0",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",206.55.197.253,2001:504:31::407d:2,0c81.260d.4787,"Digital Realty IAD (44521 Hastings) ACC5 (DFT)","edge1-dft.nva1 et-3/3/0",100G,100G,Regular,nva1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/1/2",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.237.175,2001:7f8:4:1::407d:1,40de.ad2c.0e49,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce2/1",100G,100G,Regular,lon2,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/5/2",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.237.175,2001:7f8:4:1::407d:1,40de.ad2c.0e49,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce3/1",100G,100G,Regular,lon2,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.237.175,2001:7f8:4:1::407d:1,40de.ad2c.0e49,"Equinix LD4 (EQ4)","edge3-eq4-lon2 ce1/1",100G,100G,Regular,lon2,full,"rs1.nva1, rs2.nva1"
Amazon,http://www.amazon.com/,16509,"No data",195.66.225.175,2001:7f8:4::407d:1,7ce2.cacb.644a,"Telehouse West (THW)","core4-thw et-2/2/2",100G,100G,Regular,lon1,full,"rs1.nva1, rs2.nva1"
"Amito Ltd",https://www.amito.com/,60610,"No data",195.66.244.64,2001:7f8:4:2::ecc2:1,807f.f858.3898,"Equinix MA1 Williams House (TCW)","edge7-tcw-man1 xe20",1G,1G,Regular,man1,full,"rs1.lon1, rs1.man1, rs2.man1, rs3.lon1"
